review_id,product_name,star_rating,review_title,review_body,verified_purchase,date,helpful_votes
12,Botanical Luxuriate Tea Tree Shampoo Anti-Lice,4,Rich creamy lather — great for thick hair,"The lather is super rich and creamy which is perfect for my thick long hair. One pump is enough for a full wash. Scalp feels clean and nourished. Fragrance is a bonus.",YES,2024-03-12,16
13,Botanical Luxuriate Tea Tree Shampoo Anti-Lice,1,Fragrance is overwhelmingly strong,"The tea tree fragrance is so strong it gave me a headache during my shower. My eyes were watering too. People with fragrance sensitivity should avoid this. Not suitable for sensitive individuals.",YES,2024-03-13,28
14,Botanical Luxuriate Tea Tree Shampoo Anti-Lice,5,Eco-friendly packaging with no plastic,"Love that they use eco-friendly packaging with minimal plastic. The product is natural and the recyclable bottle design is thoughtful. This is the kind of brand we should support.",YES,2024-03-14,35
15,Botanical Luxuriate Tea Tree Shampoo Anti-Lice,4,Scalp care is excellent but hair texture varies,"The scalp treatment is genuinely excellent — no dandruff, no itch, no lice after consistent use. Hair texture improvement depends on hair type. Works brilliantly for my oily scalp.",YES,2024-03-15,21
16,Botanical Luxuriate Tea Tree Shampoo Anti-Lice,1,Seal broke during transit — complete mess,"Third time ordering and third time the bottle seal has broken during shipping. Either the bottle design or the courier handling is at fault. The product inside is good but useless if it leaks.",YES,2024-03-16,47
17,Botanical Luxuriate Tea Tree Shampoo Anti-Lice,5,My scalp has never felt this clean!,"Used for 3 weeks and my scalp has never felt this healthy! Zero lice, zero dandruff, and zero itching. The natural ingredients are so gentle yet so effective. Five stars without hesitation.",YES,2024-03-17,39
18,Botanical Luxuriate Tea Tree Shampoo Anti-Lice,3,Mixed results on lice treatment,"It worked for regular dandruff very well but the lice treatment was only partially effective for us. Had to combine with a separate lice comb routine. The fragrance and lather are genuinely great though.",YES,2024-03-18,12
19,Botanical Luxuriate Tea Tree Shampoo Anti-Lice,5,Natural safe ingredients — perfect for kids,"The ingredient list is clean and natural. I feel safe using this on my children. No parabens no sulfates and the tea tree oil naturally repels lice. My kids' hair is lice-free now.",YES,2024-03-19,44
20,Botanical Luxuriate Tea Tree Shampoo Anti-Lice,2,Hair becomes dry after few uses,"My hair type is normal to dry and after using this for a week my ends became noticeably drier and more prone to breakage. The anti-lice benefit is real but the formula is too stripping for dry hair.",YES,2024-03-20,17
21,Botanical Luxuriate Tea Tree Shampoo Anti-Lice,5,Lice gone in one week flat!,"School sent a note about lice outbreak. Used this shampoo 3 times over 7 days and my son's head was completely clear at the school check. Fast and effective. Will keep a bottle in stock always.",YES,2024-03-21,58
22,Botanical Luxuriate Tea Tree Shampoo Anti-Lice,4,Good value great fragrance minor issues,"Overall a very good shampoo. The fragrance is lovely, lather is decent, and it works for lice prevention. Only minor issue is it leaves hair slightly dry if used daily. Every 2 days is the sweet spot.",YES,2024-03-22,23
23,Botanical Luxuriate Tea Tree Shampoo Anti-Lice,1,Bottle quality is extremely poor,"The pump mechanism broke after just 3 uses. Now I have to pour from the broken pump bottle which is messy. The product itself is fine but the packaging quality is shameful for this price.",YES,2024-03-23,36
24,Botanical Luxuriate Tea Tree Shampoo Anti-Lice,5,Absolutely love this shampoo!,"This has completely replaced my previous shampoo. My hair is healthy my scalp is happy and the tea tree fragrance is addictive. No lice since I started using it 6 weeks ago. Genuine recommendation.",YES,2024-03-24,31
25,Botanical Luxuriate Tea Tree Shampoo Anti-Lice,3,Quantity feels less for the price,"The shampoo itself is good quality but the 200ml bottle runs out very quickly if you have long thick hair. For the listed price the quantity should be higher. Consider the 400ml variant if available.",NO,2024-03-25,14
